,description,displaySymbol,symbol,type
311,FIRSTENERGY CORP,FE-RM.ME,FE-RM,Common Stock
312,JEFFERIES FINANCIAL GROUP IN,JEF-RM.ME,JEF-RM,Common Stock
313,AMCC ETF CLOUD COMPUTING,AMCC.ME,AMCC,ETP
314,WALMART INC,WMT-RM.ME,WMT-RM,Common Stock
315,COUPANG INC,CPNG-RM.ME,CPNG-RM,Common Stock
316,UNITED AIRCRAFT CORP PJSC,UNAC.ME,UNAC,Common Stock
317,CHELYABINSKIY ZAVOD PROFILIR,PRFN.ME,PRFN,Common Stock
318,RANGE RESOURCES CORP,RRC-RM.ME,RRC-RM,Common Stock
319,DUPONT DE NEMOURS INC,DD-RM.ME,DD-RM,Common Stock
320,ETF AKME ALFA MANAGED EQTIES,AKME.ME,AKME,ETP
321,ARCHER-DANIELS-MIDLAND CO,ADM-RM.ME,ADM-RM,Common Stock
322,MARATHON PETROLEUM CORP,MPC-RM.ME,MPC-RM,Common Stock
323,DISH NETWORK CORP-A,DISH-RM.ME,DISH-RM,Common Stock
324,MICROVISION INC,MVIS-RM.ME,MVIS-RM,Common Stock
325,VALERO ENERGY CORP,VLO-RM.ME,VLO-RM,Common Stock
326,CATERPILLAR INC,CAT-RM.ME,CAT-RM,Common Stock
327,RENEWABLE ENERGY GROUP INC,REGI-RM.ME,REGI-RM,Common Stock
328,CITRIX SYSTEMS INC,CTXS-RM.ME,CTXS-RM,Common Stock
329,INTUIT INC,INTU-RM.ME,INTU-RM,Common Stock
330,JD.COM INC-ADR,JD-RM.ME,JD-RM,ADR
331,FLUOR CORP,FLR-RM.ME,FLR-RM,Common Stock
332,KROGER CO,KR-RM.ME,KR-RM,Common Stock
333,AVANGARD BANK PJSC,AVAN.ME,AVAN,Common Stock
334,BUILDERS FIRSTSOURCE INC,BLDR-RM.ME,BLDR-RM,Common Stock
335,STRYKER CORP,SYK-RM.ME,SYK-RM,Common Stock
336,BELON OJSC,BLNG.ME,BLNG,Common Stock
337,OVINTIV INC,OVV-RM.ME,OVV-RM,Common Stock
338,GLOBAL PAYMENTS INC,GPN-RM.ME,GPN-RM,Common Stock
339,MGIC INVESTMENT CORP,MTG-RM.ME,MTG-RM,Common Stock
340,XYLEM INC,XYL-RM.ME,XYL-RM,Common Stock
341,NORTHERN TRUST CORP,NTRS-RM.ME,NTRS-RM,Common Stock
342,BROWN-FORMAN CORP-CLASS B,BFB-RM.ME,BFB-RM,Common Stock
343,PAYPAL HOLDINGS INC,PYPL-RM.ME,PYPL-RM,Common Stock
344,MODERNA INC,MRNA-RM.ME,MRNA-RM,Common Stock
345,BOSTON SCIENTIFIC CORP,BSX-RM.ME,BSX-RM,Common Stock
346,INGRAD PJSC,INGR.ME,INGR,Common Stock
347,ABBVIE INC,ABBV-RM.ME,ABBV-RM,Common Stock
348,HERON THERAPEUTICS INC,HRTX-RM.ME,HRTX-RM,Common Stock
349,LYFT INC-A,LYFT-RM.ME,LYFT-RM,Common Stock
350,MARSH & MCLENNAN COS,MMC-RM.ME,MMC-RM,Common Stock
351,VISA INC-CLASS A SHARES,V-RM.ME,V-RM,Common Stock
352,HENRY SCHEIN INC,HSIC-RM.ME,HSIC-RM,Common Stock
353,KLA CORP,KLAC-RM.ME,KLAC-RM,Common Stock
354,LOCKHEED MARTIN CORP,LMT-RM.ME,LMT-RM,Common Stock
355,XILINX INC,XLNX-RM.ME,XLNX-RM,Common Stock
356,AMGR ETF GENETIC REVOLUTION,AMGR.ME,AMGR,ETP
357,PEOPLE'S UNITED FINANCIAL,PBCT-RM.ME,PBCT-RM,Common Stock
358,SAMOLET GROUP,SMLT.ME,SMLT,Common Stock
359,ABBOTT LABORATORIES,ABT-RM.ME,ABT-RM,Common Stock
360,RUSSIAN AQUACULTURE PJSC,AQUA.ME,AQUA,Common Stock
